iter	Passed	Remaining
0	1	156
1	2	127
2	3	116
3	4	110
4	5	105
5	6	101
6	7	97
7	8	95
8	9	93
9	10	96
10	14	116
11	15	114
12	16	111
13	17	108
14	18	106
15	19	102
16	20	100
17	21	97
18	22	95
19	23	93
20	24	93
21	26	93
22	27	93
23	28	90
24	29	88
25	30	86
26	31	85
27	32	83
28	33	81
29	34	80
30	35	78
31	36	76
32	37	75
33	38	75
34	40	74
35	41	74
36	42	72
37	43	71
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	53	60
47	55	59
48	56	58
49	57	57
50	58	55
51	59	54
52	60	53
53	60	51
54	61	50
55	62	49
56	63	48
57	64	46
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	81	30
73	83	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	94	17
84	95	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	108	3
97	109	2
98	110	1
99	111	0
